lng,lat,date
-117.1563889,32.7152778,1/1/2009 0:15
-89.233333,48.4,1/1/2009 0:15
-117.1563889,32.7152778,1/1/2009 0:20
-79.81388890000001,35.7077778,1/1/2009 17:00
-90.04888890000001,35.14944439999999,1/1/2009 18:00
-121.5511111,39.095555600000004,1/1/2009 19:00
-72.7461111,41.6213889,1/1/2009 19:00
-122.03,37.978055600000005,1/1/2009 19:00
-85.33555559999999,40.8291667,1/1/2009 19:00
-82.575,27.498611100000005,1/1/2009 1:10
-161.7558333,60.792222200000005,1/1/2009 1:15
-80.0736111,34.3738889,1/1/2009 20:53
-117.39527779999999,33.9533333,1/1/2009 22:00
-85.3419444,37.3433333,1/1/2009 23:00
-80.0055556,35.955555600000004,1/1/2009 23:15
-84.4569444,39.161944399999996,1/1/2009 2:00
-117.03055559999999,32.7425,1/1/2010 0:00
-86.04638890000001,37.093888899999996,1/1/2010 0:00
-112.04694440000002,33.0580556,1/1/2010 0:00
-90.1977778,38.6272222,1/1/2010 0:00
-117.0222222,32.7677778,1/1/2010 0:00
-116.96166670000001,32.7947222,1/1/2010 0:00
-119.77138889999999,36.7477778,1/1/2010 0:00
-116.96166670000001,32.7947222,1/1/2010 0:00
-117.02916670000002,32.6577778,1/1/2010 0:00
-92.5866667,34.5644444,1/1/2010 0:00
-123.32722220000001,42.4391667,1/1/2010 0:00
-116.96166670000001,32.7947222,1/1/2010 0:01
-116.99805559999999,32.7447222,1/1/2010 0:01
-150.0375,61.74722220000001,1/1/2010 0:01
-121.8047222,38.005,1/1/2010 0:03
-116.96166670000001,32.7947222,1/1/2010 0:03
-81.795,26.1416667,1/1/2010 0:04
-117.0222222,32.7677778,1/1/2010 0:10
-117.0983333,32.67805560000001,1/1/2010 0:20
-149.90027780000003,61.2180556,1/1/2010 0:20
-80.08333329999999,26.358333299999998,1/1/2010 0:24
-104.6080556,38.9330556,1/1/2010 0:24
-86.57055559999999,30.761944399999997,1/1/2010 0:25
-106.81694440000001,39.1911111,1/1/2010 0:30
-88.5994444,42.531111100000004,1/1/2010 0:40
-150.0375,61.74722220000001,1/1/2010 12:01
-117.1563889,32.7152778,1/1/2010 12:02
-71.07777779999999,42.7761111,1/1/2010 13:00
-118.1436111,34.1477778,1/1/2010 17:20
-106.65055559999999,35.084444399999995,1/1/2010 18:00
-82.9483333,30.518055600000004,1/1/2010 18:30
-119.01777779999999,35.3733333,1/1/2010 19:00
-117.1563889,32.7152778,1/1/2010 1:00
-124.01666670000002,44.9583333,1/1/2011 0:00
-76.3555556,39.4577778,1/1/2011 0:00
-83.3772222,42.4852778,1/1/2011 0:00
-80.3447222,39.28055560000001,1/1/2011 0:00
-82.79138890000002,27.839444399999994,1/1/2011 0:01
-77.25,38.658055600000004,1/1/2011 0:02
-117.18166670000001,34.055555600000005,1/1/2011 0:05
-82.81222220000001,39.9547222,1/1/2011 0:07
-111.89027779999999,40.7608333,1/1/2011 0:07
-105.52083329999999,38.7511111,1/1/2011 0:10
-82.575,27.498611100000005,1/1/2011 0:11
-87.75805559999999,41.7108333,1/1/2011 0:13
-95.8241667,29.785555600000006,1/1/2011 0:15
-66.06666700000001,45.266667,1/1/2011 0:20
-87.9858333,41.4225,1/1/2011 0:30
-81.3794444,28.538055600000003,1/1/2011 0:30
-121.9597222,45.3283333,1/1/2011 0:30
-82.79138890000002,27.839444399999994,1/1/2011 0:35
-80.1938889,25.7738889,1/1/2011 0:38
-111.89027779999999,40.7608333,1/1/2011 0:55
-114.6236111,32.7252778,1/1/2011 14:00
-88.81388890000001,35.6144444,1/1/2011 17:00
-97.33722220000001,37.6922222,1/1/2011 17:00
-81.77305559999999,28.5491667,1/1/2011 1:00
-80.1938889,25.7738889,1/1/2011 1:00
-91.53805559999999,36.52444439999999,1/1/2011 1:00
-97.4841667,41.6916667,1/1/2011 20:00
-81.633333,44.166667,1/1/2011 20:45
-95.2008333,29.5291667,1/1/2011 20:45
-82.5308333,27.336111100000004,1/1/2011 22:00
-75.13027779999999,40.31,1/1/2011 22:27
-75.13027779999999,40.31,1/1/2011 22:30
-95.0947222,29.5072222,1/1/2011 5:15
-117.21305559999999,33.5538889,1/1/2011 7:25
-81.3794444,28.538055600000003,1/1/2011 9:30
-112.07333329999999,33.4483333,1/1/2012 0:00
-76.9680556,39.373611100000005,1/1/2012 0:00
-73.4458333,40.7325,1/1/2012 0:00
-90.5363889,38.4588889,1/1/2012 0:00
-149.90027780000003,61.2180556,1/1/2012 0:01
-122.33083329999998,47.6063889,1/1/2012 0:01
-122.29055559999999,48.068611100000005,1/1/2012 0:01
-84.55,33.9525,1/1/2012 0:03
-97.6786111,30.508055600000006,1/1/2012 0:04
-117.0222222,32.7677778,1/1/2012 0:05
-81.77888890000001,26.339444399999994,1/1/2012 0:05
-117.0222222,32.7677778,1/1/2012 0:06
-82.0908333,26.975833299999998,1/1/2012 0:10
